team_key,logo_url
arizona cardinals,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/arizona_cardinals.png
atlanta falcons,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/atlanta_falcons.png
baltimore ravens,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/baltimore_ravens.png
buffalo bills,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/buffalo_bills.png
carolina panthers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/carolina_panthers.png
chicago bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/chicago_bears.png
cincinnati bengals,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/cincinnati_bengals.png
cleveland browns,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/cleveland_browns.png
dallas cowboys,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/dallas_cowboys.png
denver broncos,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/denver_broncos.png
detroit lions,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/detroit_lions.png
green bay packers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/green_bay_packers.png
houston texans,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/houston_texans.png
indianapolis colts,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/indianapolis_colts.png
jacksonville jaguars,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/jacksonville_jaguars.png
kansas city chiefs,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/kansas_city_chiefs.png
las vegas raiders,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/las_vegas_raiders.png
los angeles chargers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/los_angeles_chargers.png
los angeles rams,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/los_angeles_rams.png
miami dolphins,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/miami_dolphins.png
minnesota vikings,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/minnesota_vikings.png
new england patriots,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/new_england_patriots.png
new orleans saints,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/new_orleans_saints.png
new york giants,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/new_york_giants.png
new york jets,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/new_york_jets.png
nfl,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/nfl.png
philadelphia eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/philadelphia_eagles.png
pittsburgh steelers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/pittsburgh_steelers.png
san francisco 49ers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/san_francisco_49ers.png
seattle seahawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/seattle_seahawks.png
tampa bay buccaneers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/tampa_bay_buccaneers.png
tennessee titans,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/tennessee_titans.png
washington commanders,http://bet-bot-manager.my.pebble.host:25594/static/logos/nfl/washington_commanders.png